DataHora,FRP,RiscoFogo,DiaSemChuva,latitude_rad,longitude_rad,cluster_label,unix_time
2025-01-01 16:52:00+00:00,17.4,1.0,4.0,-0.12664737371001572,-0.6726245864444607,-1,173575032000.0
2025-01-02 17:32:00+00:00,33.3,1.0,23.0,-0.1267468574773794,-0.6667604546906849,-1,173583912000.0
2025-01-03 16:34:00+00:00,84.4,1.0,4.0,-0.13162575086840436,-0.6707277626133933,0,173592204000.0
2025-01-03 16:34:00+00:00,25.0,1.0,25.0,-0.11886687043755022,-0.6233028035135774,-1,173592204000.0
2025-01-03 16:34:00+00:00,111.1,1.0,4.0,-0.13157356552376973,-0.6708546480500133,0,173592204000.0
2025-01-03 16:34:00+00:00,23.3,1.0,32.0,-0.1281907683675543,-0.6241424814167118,-1,173592204000.0
2025-01-04 17:11:00+00:00,40.2,1.0,19.0,-0.13212055171134476,-0.6581409716467858,-1,173601066000.0
2025-01-04 17:13:00+00:00,18.2,1.0,6.0,-0.12600771053915982,-0.6708918235630807,1,173601078000.0
2025-01-04 17:13:00+00:00,8.9,1.0,7.0,-0.12603423954379012,-0.6710651347578037,1,173601078000.0
2025-01-04 17:13:00+00:00,31.0,0.06,14.0,-0.11429724938997866,-0.6623552436586512,2,173601078000.0
2025-01-04 17:13:00+00:00,40.1,1.0,10.0,-0.12844645910297148,-0.6601587467950163,3,173601078000.0
2025-01-04 17:13:00+00:00,57.9,1.0,28.0,-0.12950046343825086,-0.6552491356091564,4,173601078000.0
2025-01-04 17:13:00+00:00,19.8,1.0,23.0,-0.11929517423598962,-0.6742042839504409,5,173601078000.0
2025-01-04 17:13:00+00:00,15.7,0.76,10.0,-0.11881869935019516,-0.6626701010557111,-1,173601078000.0
2025-01-04 17:13:00+00:00,46.6,1.0,25.0,-0.1213614695374257,-0.6731460908249566,6,173601078000.0
2025-01-04 17:13:00+00:00,22.6,0.54,22.0,-0.11435205272849128,-0.6683521949685037,-1,173601078000.0
2025-01-04 17:13:00+00:00,14.5,0.12,14.0,-0.11426880052317114,-0.6621662245006602,2,173601078000.0
2025-01-04 17:13:00+00:00,27.3,1.0,19.0,-0.12474304496316471,-0.661515740288442,-1,173601078000.0
2025-01-04 17:13:00+00:00,31.2,1.0,23.0,-0.11926934336306011,-0.6740316708874184,5,173601078000.0
2025-01-04 17:13:00+00:00,17.5,1.0,28.0,-0.12947131643974255,-0.6550557531280354,4,173601078000.0
2025-01-04 17:13:00+00:00,24.4,1.0,25.0,-0.12138764947620562,-0.673318005756278,6,173601078000.0
2025-01-04 17:13:00+00:00,11.3,1.0,1.0,-0.11548808753861438,-0.6725191685576403,-1,173601078000.0
2025-01-04 17:13:00+00:00,27.0,1.0,0.0,-0.12701144939198175,-0.6709206214957386,-1,173601078000.0
2025-01-04 17:13:00+00:00,26.7,1.0,25.0,-0.12287397186720399,-0.6681710297921468,7,173601078000.0
2025-01-04 17:13:00+00:00,15.3,1.0,10.0,-0.12841818476908917,-0.6599719965650529,3,173601078000.0
2025-01-04 17:13:00+00:00,21.6,1.0,27.0,-0.1202573742526141,-0.6199317000633503,8,173601078000.0
2025-01-04 17:13:00+00:00,25.6,1.0,28.0,-0.12005805765203634,-0.6199711445044453,8,173601078000.0
2025-01-04 17:13:00+00:00,19.5,1.0,19.0,-0.12864280864382086,-0.6625887687125681,-1,173601078000.0
2025-01-04 17:13:00+00:00,45.8,0.75,18.0,-0.11574918879471274,-0.6742554220975242,-1,173601078000.0
2025-01-04 17:13:00+00:00,29.7,1.0,25.0,-0.12290119900353509,-0.6683504496392518,7,173601078000.0
2025-01-06 16:54:00+00:00,8.2,1.0,1.0,-0.11728856919497173,-0.6737683007032926,-1,173618244000.0
2025-01-06 16:54:00+00:00,15.0,1.0,8.0,-0.13455196989229803,-0.6630476157729174,-1,173618244000.0
2025-01-06 16:54:00+00:00,22.4,0.76,3.0,-0.13153028135832026,-0.6668676179067574,-1,173618244000.0
2025-01-06 16:54:00+00:00,28.4,1.0,4.0,-0.13144615648837416,-0.6626229771659071,9,173618244000.0
2025-01-06 16:54:00+00:00,11.1,1.0,28.0,-0.1243791438141239,-0.65695449682128,-1,173618244000.0
2025-01-06 16:54:00+00:00,11.8,1.0,5.0,-0.13142102374714543,-0.6624446045163535,9,173618244000.0
2025-01-07 17:34:00+00:00,51.6,0.58,2.0,-0.12799232443160258,-0.667966477203813,-1,173627124000.0
